Date,GEO,value,Age,Sex
2018-09-01,New Brunswick,80,65 to 84 years,Both sexes
2018-09-01,New Brunswick,45,65 to 84 years,Males
2018-09-01,New Brunswick,35,65 to 84 years,Females
2018-09-01,New Brunswick,50,85 years and over,Both sexes
2018-09-01,New Brunswick,25,85 years and over,Males
2018-09-01,New Brunswick,25,85 years and over,Females
2018-09-08,New Brunswick,145,all ages,Both sexes
2018-09-08,New Brunswick,80,all ages,Males
2018-09-08,New Brunswick,65,all ages,Females
2018-09-08,New Brunswick,5,0 to 44 years,Both sexes
2018-09-08,New Brunswick,5,0 to 44 years,Males
2018-09-08,New Brunswick,0,0 to 44 years,Females
2018-09-08,New Brunswick,20,45 to 64 years,Both sexes
2018-09-08,New Brunswick,15,45 to 64 years,Males
2018-09-08,New Brunswick,5,45 to 64 years,Females
2018-09-08,New Brunswick,70,65 to 84 years,Both sexes
2018-09-08,New Brunswick,40,65 to 84 years,Males
2018-09-08,New Brunswick,30,65 to 84 years,Females
2018-09-08,New Brunswick,50,85 years and over,Both sexes
2018-09-08,New Brunswick,20,85 years and over,Males
2018-09-08,New Brunswick,30,85 years and over,Females
2018-09-15,New Brunswick,135,all ages,Both sexes
2018-09-15,New Brunswick,70,all ages,Males
2018-09-15,New Brunswick,70,all ages,Females
2018-09-15,New Brunswick,10,0 to 44 years,Both sexes
2018-09-15,New Brunswick,5,0 to 44 years,Males
2018-09-15,New Brunswick,5,0 to 44 years,Females
2018-09-15,New Brunswick,25,45 to 64 years,Both sexes
2018-09-15,New Brunswick,10,45 to 64 years,Males
2018-09-15,New Brunswick,10,45 to 64 years,Females
2018-09-15,New Brunswick,50,65 to 84 years,Both sexes
2018-09-15,New Brunswick,30,65 to 84 years,Males
2018-09-15,New Brunswick,20,65 to 84 years,Females
2018-09-15,New Brunswick,55,85 years and over,Both sexes
2018-09-15,New Brunswick,20,85 years and over,Males
2018-09-15,New Brunswick,35,85 years and over,Females
2018-09-22,New Brunswick,140,all ages,Both sexes
2018-09-22,New Brunswick,70,all ages,Males
2018-09-22,New Brunswick,70,all ages,Females
2018-09-22,New Brunswick,5,0 to 44 years,Both sexes
2018-09-22,New Brunswick,5,0 to 44 years,Males
2018-09-22,New Brunswick,0,0 to 44 years,Females
2018-09-22,New Brunswick,20,45 to 64 years,Both sexes
2018-09-22,New Brunswick,15,45 to 64 years,Males
2018-09-22,New Brunswick,5,45 to 64 years,Females
2018-09-22,New Brunswick,75,65 to 84 years,Both sexes
2018-09-22,New Brunswick,45,65 to 84 years,Males
2018-09-22,New Brunswick,30,65 to 84 years,Females
2018-09-22,New Brunswick,40,85 years and over,Both sexes
2018-09-22,New Brunswick,15,85 years and over,Males
2018-09-22,New Brunswick,30,85 years and over,Females
2018-09-29,New Brunswick,120,all ages,Both sexes
2018-09-29,New Brunswick,55,all ages,Males
2018-09-29,New Brunswick,70,all ages,Females
2018-09-29,New Brunswick,5,0 to 44 years,Both sexes
2018-09-29,New Brunswick,0,0 to 44 years,Males
2018-09-29,New Brunswick,5,0 to 44 years,Females
2018-09-29,New Brunswick,20,45 to 64 years,Both sexes
2018-09-29,New Brunswick,10,45 to 64 years,Males
2018-09-29,New Brunswick,10,45 to 64 years,Females
2018-09-29,New Brunswick,55,65 to 84 years,Both sexes
2018-09-29,New Brunswick,30,65 to 84 years,Males
2018-09-29,New Brunswick,25,65 to 84 years,Females
2018-09-29,New Brunswick,35,85 years and over,Both sexes
2018-09-29,New Brunswick,10,85 years and over,Males
2018-09-29,New Brunswick,25,85 years and over,Females
2018-10-06,New Brunswick,145,all ages,Both sexes
2018-10-06,New Brunswick,80,all ages,Males
2018-10-06,New Brunswick,65,all ages,Females
2018-10-06,New Brunswick,5,0 to 44 years,Both sexes
2018-10-06,New Brunswick,0,0 to 44 years,Males
2018-10-06,New Brunswick,0,0 to 44 years,Females
2018-10-06,New Brunswick,20,45 to 64 years,Both sexes
2018-10-06,New Brunswick,10,45 to 64 years,Males
2018-10-06,New Brunswick,5,45 to 64 years,Females
2018-10-06,New Brunswick,75,65 to 84 years,Both sexes
2018-10-06,New Brunswick,40,65 to 84 years,Males
2018-10-06,New Brunswick,30,65 to 84 years,Females
2018-10-06,New Brunswick,45,85 years and over,Both sexes
2018-10-06,New Brunswick,20,85 years and over,Males
2018-10-06,New Brunswick,25,85 years and over,Females
2018-10-13,New Brunswick,155,all ages,Both sexes
2018-10-13,New Brunswick,80,all ages,Males
2018-10-13,New Brunswick,70,all ages,Females
2018-10-13,New Brunswick,5,0 to 44 years,Both sexes
2018-10-13,New Brunswick,5,0 to 44 years,Males
2018-10-13,New Brunswick,0,0 to 44 years,Females
2018-10-13,New Brunswick,20,45 to 64 years,Both sexes
2018-10-13,New Brunswick,10,45 to 64 years,Males
2018-10-13,New Brunswick,10,45 to 64 years,Females
2018-10-13,New Brunswick,70,65 to 84 years,Both sexes
2018-10-13,New Brunswick,40,65 to 84 years,Males
2018-10-13,New Brunswick,30,65 to 84 years,Females
2018-10-13,New Brunswick,60,85 years and over,Both sexes
2018-10-13,New Brunswick,25,85 years and over,Males
2018-10-13,New Brunswick,35,85 years and over,Females
2018-10-20,New Brunswick,145,all ages,Both sexes
2018-10-20,New Brunswick,75,all ages,Males
2018-10-20,New Brunswick,70,all ages,Females
2018-10-20,New Brunswick,5,0 to 44 years,Both sexes
2018-10-20,New Brunswick,5,0 to 44 years,Males
2018-10-20,New Brunswick,5,0 to 44 years,Females
2018-10-20,New Brunswick,20,45 to 64 years,Both sexes
2018-10-20,New Brunswick,10,45 to 64 years,Males
2018-10-20,New Brunswick,10,45 to 64 years,Females
2018-10-20,New Brunswick,70,65 to 84 years,Both sexes
2018-10-20,New Brunswick,45,65 to 84 years,Males
2018-10-20,New Brunswick,30,65 to 84 years,Females
2018-10-20,New Brunswick,40,85 years and over,Both sexes
2018-10-20,New Brunswick,15,85 years and over,Males
2018-10-20,New Brunswick,30,85 years and over,Females
2018-10-27,New Brunswick,160,all ages,Both sexes
2018-10-27,New Brunswick,75,all ages,Males
2018-10-27,New Brunswick,80,all ages,Females
2018-10-27,New Brunswick,5,0 to 44 years,Both sexes
2018-10-27,New Brunswick,0,0 to 44 years,Males
2018-10-27,New Brunswick,0,0 to 44 years,Females
2018-10-27,New Brunswick,25,45 to 64 years,Both sexes
2018-10-27,New Brunswick,15,45 to 64 years,Males
2018-10-27,New Brunswick,5,45 to 64 years,Females
2018-10-27,New Brunswick,80,65 to 84 years,Both sexes
2018-10-27,New Brunswick,40,65 to 84 years,Males
2018-10-27,New Brunswick,45,65 to 84 years,Females
2018-10-27,New Brunswick,50,85 years and over,Both sexes
2018-10-27,New Brunswick,20,85 years and over,Males
2018-10-27,New Brunswick,30,85 years and over,Females
2018-11-03,New Brunswick,160,all ages,Both sexes
2018-11-03,New Brunswick,90,all ages,Males
2018-11-03,New Brunswick,65,all ages,Females
2018-11-03,New Brunswick,10,0 to 44 years,Both sexes
2018-11-03,New Brunswick,5,0 to 44 years,Males
2018-11-03,New Brunswick,0,0 to 44 years,Females
2018-11-03,New Brunswick,25,45 to 64 years,Both sexes
2018-11-03,New Brunswick,15,45 to 64 years,Males
2018-11-03,New Brunswick,10,45 to 64 years,Females
2018-11-03,New Brunswick,70,65 to 84 years,Both sexes
2018-11-03,New Brunswick,45,65 to 84 years,Males
2018-11-03,New Brunswick,25,65 to 84 years,Females
2018-11-03,New Brunswick,50,85 years and over,Both sexes
2018-11-03,New Brunswick,25,85 years and over,Males
2018-11-03,New Brunswick,35,85 years and over,Females
2018-11-10,New Brunswick,140,all ages,Both sexes
2018-11-10,New Brunswick,65,all ages,Males
2018-11-10,New Brunswick,70,all ages,Females
2018-11-10,New Brunswick,0,0 to 44 years,Both sexes
2018-11-10,New Brunswick,0,0 to 44 years,Males
2018-11-10,New Brunswick,0,0 to 44 years,Females
2018-11-10,New Brunswick,15,45 to 64 years,Both sexes
2018-11-10,New Brunswick,10,45 to 64 years,Males
2018-11-10,New Brunswick,10,45 to 64 years,Females
2018-11-10,New Brunswick,70,65 to 84 years,Both sexes
2018-11-10,New Brunswick,40,65 to 84 years,Males
2018-11-10,New Brunswick,30,65 to 84 years,Females
2018-11-10,New Brunswick,45,85 years and over,Both sexes
2018-11-10,New Brunswick,15,85 years and over,Males
2018-11-10,New Brunswick,30,85 years and over,Females
2018-11-17,New Brunswick,140,all ages,Both sexes
2018-11-17,New Brunswick,70,all ages,Males
2018-11-17,New Brunswick,70,all ages,Females
2018-11-17,New Brunswick,10,0 to 44 years,Both sexes
2018-11-17,New Brunswick,5,0 to 44 years,Males
2018-11-17,New Brunswick,5,0 to 44 years,Females
2018-11-17,New Brunswick,25,45 to 64 years,Both sexes
2018-11-17,New Brunswick,20,45 to 64 years,Males
2018-11-17,New Brunswick,10,45 to 64 years,Females
2018-11-17,New Brunswick,65,65 to 84 years,Both sexes
2018-11-17,New Brunswick,35,65 to 84 years,Males
2018-11-17,New Brunswick,25,65 to 84 years,Females
2018-11-17,New Brunswick,45,85 years and over,Both sexes
2018-11-17,New Brunswick,15,85 years and over,Males
2018-11-17,New Brunswick,30,85 years and over,Females
2018-11-24,New Brunswick,130,all ages,Both sexes
2018-11-24,New Brunswick,70,all ages,Males
2018-11-24,New Brunswick,60,all ages,Females
2018-11-24,New Brunswick,5,0 to 44 years,Both sexes
2018-11-24,New Brunswick,5,0 to 44 years,Males
2018-11-24,New Brunswick,5,0 to 44 years,Females
2018-11-24,New Brunswick,15,45 to 64 years,Both sexes
2018-11-24,New Brunswick,10,45 to 64 years,Males
2018-11-24,New Brunswick,5,45 to 64 years,Females
2018-11-24,New Brunswick,65,65 to 84 years,Both sexes
2018-11-24,New Brunswick,40,65 to 84 years,Males
2018-11-24,New Brunswick,25,65 to 84 years,Females
2018-11-24,New Brunswick,45,85 years and over,Both sexes
2018-11-24,New Brunswick,20,85 years and over,Males
2018-11-24,New Brunswick,30,85 years and over,Females
2018-12-01,New Brunswick,155,all ages,Both sexes
2018-12-01,New Brunswick,85,all ages,Males
2018-12-01,New Brunswick,75,all ages,Females
2018-12-01,New Brunswick,5,0 to 44 years,Both sexes
2018-12-01,New Brunswick,5,0 to 44 years,Males
2018-12-01,New Brunswick,5,0 to 44 years,Females
2018-12-01,New Brunswick,25,45 to 64 years,Both sexes
2018-12-01,New Brunswick,15,45 to 64 years,Males
2018-12-01,New Brunswick,5,45 to 64 years,Females
2018-12-01,New Brunswick,80,65 to 84 years,Both sexes
2018-12-01,New Brunswick,40,65 to 84 years,Males
2018-12-01,New Brunswick,35,65 to 84 years,Females
2018-12-01,New Brunswick,55,85 years and over,Both sexes
2018-12-01,New Brunswick,20,85 years and over,Males
2018-12-01,New Brunswick,35,85 years and over,Females
2018-12-08,New Brunswick,150,all ages,Both sexes
2018-12-08,New Brunswick,75,all ages,Males
2018-12-08,New Brunswick,75,all ages,Females
2018-12-08,New Brunswick,5,0 to 44 years,Both sexes
2018-12-08,New Brunswick,5,0 to 44 years,Males
2018-12-08,New Brunswick,0,0 to 44 years,Females
2018-12-08,New Brunswick,30,45 to 64 years,Both sexes
2018-12-08,New Brunswick,15,45 to 64 years,Males
2018-12-08,New Brunswick,10,45 to 64 years,Females
2018-12-08,New Brunswick,65,65 to 84 years,Both sexes
2018-12-08,New Brunswick,35,65 to 84 years,Males
2018-12-08,New Brunswick,30,65 to 84 years,Females
2018-12-08,New Brunswick,50,85 years and over,Both sexes
2018-12-08,New Brunswick,25,85 years and over,Males
2018-12-08,New Brunswick,30,85 years and over,Females
2018-12-15,New Brunswick,145,all ages,Both sexes
2018-12-15,New Brunswick,75,all ages,Males
2018-12-15,New Brunswick,70,all ages,Females
2018-12-15,New Brunswick,5,0 to 44 years,Both sexes
2018-12-15,New Brunswick,5,0 to 44 years,Males
2018-12-15,New Brunswick,0,0 to 44 years,Females
2018-12-15,New Brunswick,20,45 to 64 years,Both sexes
2018-12-15,New Brunswick,10,45 to 64 years,Males
2018-12-15,New Brunswick,10,45 to 64 years,Females
2018-12-15,New Brunswick,75,65 to 84 years,Both sexes
2018-12-15,New Brunswick,45,65 to 84 years,Males
2018-12-15,New Brunswick,35,65 to 84 years,Females
2018-12-15,New Brunswick,45,85 years and over,Both sexes
2018-12-15,New Brunswick,20,85 years and over,Males
2018-12-15,New Brunswick,25,85 years and over,Females
2018-12-22,New Brunswick,175,all ages,Both sexes
2018-12-22,New Brunswick,90,all ages,Males
2018-12-22,New Brunswick,80,all ages,Females
2018-12-22,New Brunswick,5,0 to 44 years,Both sexes
2018-12-22,New Brunswick,5,0 to 44 years,Males
2018-12-22,New Brunswick,5,0 to 44 years,Females
2018-12-22,New Brunswick,30,45 to 64 years,Both sexes
2018-12-22,New Brunswick,10,45 to 64 years,Males
2018-12-22,New Brunswick,15,45 to 64 years,Females
2018-12-22,New Brunswick,85,65 to 84 years,Both sexes
2018-12-22,New Brunswick,50,65 to 84 years,Males
2018-12-22,New Brunswick,35,65 to 84 years,Females
2018-12-22,New Brunswick,55,85 years and over,Both sexes
2018-12-22,New Brunswick,25,85 years and over,Males
2018-12-22,New Brunswick,35,85 years and over,Females
2018-12-29,New Brunswick,140,all ages,Both sexes
2018-12-29,New Brunswick,75,all ages,Males
2018-12-29,New Brunswick,65,all ages,Females
2018-12-29,New Brunswick,5,0 to 44 years,Both sexes
2018-12-29,New Brunswick,0,0 to 44 years,Males
2018-12-29,New Brunswick,0,0 to 44 years,Females
2018-12-29,New Brunswick,25,45 to 64 years,Both sexes
2018-12-29,New Brunswick,15,45 to 64 years,Males
2018-12-29,New Brunswick,10,45 to 64 years,Females
2018-12-29,New Brunswick,65,65 to 84 years,Both sexes
2018-12-29,New Brunswick,40,65 to 84 years,Males
2018-12-29,New Brunswick,30,65 to 84 years,Females
2018-12-29,New Brunswick,45,85 years and over,Both sexes
2018-12-29,New Brunswick,20,85 years and over,Males
2018-12-29,New Brunswick,20,85 years and over,Females
2019-01-05,New Brunswick,160,all ages,Both sexes
2019-01-05,New Brunswick,75,all ages,Males
2019-01-05,New Brunswick,85,all ages,Females
2019-01-05,New Brunswick,5,0 to 44 years,Both sexes
2019-01-05,New Brunswick,0,0 to 44 years,Males
2019-01-05,New Brunswick,0,0 to 44 years,Females
2019-01-05,New Brunswick,25,45 to 64 years,Both sexes
2019-01-05,New Brunswick,15,45 to 64 years,Males
2019-01-05,New Brunswick,10,45 to 64 years,Females
2019-01-05,New Brunswick,75,65 to 84 years,Both sexes
2019-01-05,New Brunswick,35,65 to 84 years,Males
2019-01-05,New Brunswick,35,65 to 84 years,Females
2019-01-05,New Brunswick,60,85 years and over,Both sexes
2019-01-05,New Brunswick,15,85 years and over,Males
2019-01-05,New Brunswick,35,85 years and over,Females
2019-01-12,New Brunswick,155,all ages,Both sexes
2019-01-12,New Brunswick,80,all ages,Males
2019-01-12,New Brunswick,75,all ages,Females
2019-01-12,New Brunswick,10,0 to 44 years,Both sexes
2019-01-12,New Brunswick,5,0 to 44 years,Males
2019-01-12,New Brunswick,5,0 to 44 years,Females
2019-01-12,New Brunswick,20,45 to 64 years,Both sexes
2019-01-12,New Brunswick,10,45 to 64 years,Males
2019-01-12,New Brunswick,10,45 to 64 years,Females
2019-01-12,New Brunswick,75,65 to 84 years,Both sexes
2019-01-12,New Brunswick,40,65 to 84 years,Males
2019-01-12,New Brunswick,30,65 to 84 years,Females
2019-01-12,New Brunswick,55,85 years and over,Both sexes
2019-01-12,New Brunswick,20,85 years and over,Males
2019-01-12,New Brunswick,30,85 years and over,Females
2019-01-19,New Brunswick,170,all ages,Both sexes
2019-01-19,New Brunswick,80,all ages,Males
2019-01-19,New Brunswick,85,all ages,Females
2019-01-19,New Brunswick,0,0 to 44 years,Both sexes
2019-01-19,New Brunswick,5,0 to 44 years,Males
2019-01-19,New Brunswick,0,0 to 44 years,Females
2019-01-19,New Brunswick,20,45 to 64 years,Both sexes
2019-01-19,New Brunswick,10,45 to 64 years,Males
2019-01-19,New Brunswick,10,45 to 64 years,Females
2019-01-19,New Brunswick,90,65 to 84 years,Both sexes
2019-01-19,New Brunswick,55,65 to 84 years,Males
2019-01-19,New Brunswick,35,65 to 84 years,Females
2019-01-19,New Brunswick,55,85 years and over,Both sexes
2019-01-19,New Brunswick,20,85 years and over,Males
2019-01-19,New Brunswick,35,85 years and over,Females
2019-01-26,New Brunswick,160,all ages,Both sexes
2019-01-26,New Brunswick,85,all ages,Males
2019-01-26,New Brunswick,75,all ages,Females
2019-01-26,New Brunswick,5,0 to 44 years,Both sexes
2019-01-26,New Brunswick,5,0 to 44 years,Males
2019-01-26,New Brunswick,0,0 to 44 years,Females
2019-01-26,New Brunswick,20,45 to 64 years,Both sexes
2019-01-26,New Brunswick,15,45 to 64 years,Males
2019-01-26,New Brunswick,15,45 to 64 years,Females
2019-01-26,New Brunswick,80,65 to 84 years,Both sexes
2019-01-26,New Brunswick,50,65 to 84 years,Males
2019-01-26,New Brunswick,35,65 to 84 years,Females
2019-01-26,New Brunswick,50,85 years and over,Both sexes
2019-01-26,New Brunswick,20,85 years and over,Males
2019-01-26,New Brunswick,35,85 years and over,Females
2019-02-02,New Brunswick,165,all ages,Both sexes
2019-02-02,New Brunswick,85,all ages,Males
2019-02-02,New Brunswick,85,all ages,Females
2019-02-02,New Brunswick,5,0 to 44 years,Both sexes
2019-02-02,New Brunswick,5,0 to 44 years,Males
2019-02-02,New Brunswick,0,0 to 44 years,Females
2019-02-02,New Brunswick,20,45 to 64 years,Both sexes
2019-02-02,New Brunswick,10,45 to 64 years,Males
2019-02-02,New Brunswick,5,45 to 64 years,Females
2019-02-02,New Brunswick,85,65 to 84 years,Both sexes
2019-02-02,New Brunswick,45,65 to 84 years,Males
2019-02-02,New Brunswick,40,65 to 84 years,Females
2019-02-02,New Brunswick,55,85 years and over,Both sexes
2019-02-02,New Brunswick,20,85 years and over,Males
2019-02-02,New Brunswick,30,85 years and over,Females
2019-02-09,New Brunswick,170,all ages,Both sexes
2019-02-09,New Brunswick,75,all ages,Males
2019-02-09,New Brunswick,100,all ages,Females
2019-02-09,New Brunswick,5,0 to 44 years,Both sexes
2019-02-09,New Brunswick,0,0 to 44 years,Males
2019-02-09,New Brunswick,0,0 to 44 years,Females
2019-02-09,New Brunswick,30,45 to 64 years,Both sexes
2019-02-09,New Brunswick,15,45 to 64 years,Males
2019-02-09,New Brunswick,20,45 to 64 years,Females
2019-02-09,New Brunswick,80,65 to 84 years,Both sexes
2019-02-09,New Brunswick,35,65 to 84 years,Males
2019-02-09,New Brunswick,40,65 to 84 years,Females
2019-02-09,New Brunswick,60,85 years and over,Both sexes
2019-02-09,New Brunswick,20,85 years and over,Males
2019-02-09,New Brunswick,40,85 years and over,Females
2019-02-16,New Brunswick,115,all ages,Both sexes
2019-02-16,New Brunswick,55,all ages,Males
2019-02-16,New Brunswick,65,all ages,Females
2019-02-16,New Brunswick,0,0 to 44 years,Both sexes
2019-02-16,New Brunswick,0,0 to 44 years,Males
2019-02-16,New Brunswick,5,0 to 44 years,Females
2019-02-16,New Brunswick,25,45 to 64 years,Both sexes
2019-02-16,New Brunswick,10,45 to 64 years,Males
2019-02-16,New Brunswick,10,45 to 64 years,Females
2019-02-16,New Brunswick,50,65 to 84 years,Both sexes
2019-02-16,New Brunswick,25,65 to 84 years,Males
2019-02-16,New Brunswick,25,65 to 84 years,Females
2019-02-16,New Brunswick,45,85 years and over,Both sexes
2019-02-16,New Brunswick,15,85 years and over,Males
2019-02-16,New Brunswick,25,85 years and over,Females
2019-02-23,New Brunswick,185,all ages,Both sexes
2019-02-23,New Brunswick,95,all ages,Males
2019-02-23,New Brunswick,85,all ages,Females
2019-02-23,New Brunswick,0,0 to 44 years,Both sexes
2019-02-23,New Brunswick,5,0 to 44 years,Males
2019-02-23,New Brunswick,0,0 to 44 years,Females
2019-02-23,New Brunswick,25,45 to 64 years,Both sexes
2019-02-23,New Brunswick,15,45 to 64 years,Males
2019-02-23,New Brunswick,10,45 to 64 years,Females
2019-02-23,New Brunswick,90,65 to 84 years,Both sexes
2019-02-23,New Brunswick,55,65 to 84 years,Males
2019-02-23,New Brunswick,30,65 to 84 years,Females
2019-02-23,New Brunswick,65,85 years and over,Both sexes
2019-02-23,New Brunswick,20,85 years and over,Males
2019-02-23,New Brunswick,45,85 years and over,Females
2019-03-02,New Brunswick,170,all ages,Both sexes
2019-03-02,New Brunswick,95,all ages,Males
2019-03-02,New Brunswick,80,all ages,Females
2019-03-02,New Brunswick,10,0 to 44 years,Both sexes
2019-03-02,New Brunswick,5,0 to 44 years,Males
2019-03-02,New Brunswick,0,0 to 44 years,Females
2019-03-02,New Brunswick,25,45 to 64 years,Both sexes
2019-03-02,New Brunswick,20,45 to 64 years,Males
2019-03-02,New Brunswick,10,45 to 64 years,Females
2019-03-02,New Brunswick,75,65 to 84 years,Both sexes
2019-03-02,New Brunswick,40,65 to 84 years,Males
2019-03-02,New Brunswick,30,65 to 84 years,Females
2019-03-02,New Brunswick,65,85 years and over,Both sexes
2019-03-02,New Brunswick,30,85 years and over,Males
2019-03-02,New Brunswick,40,85 years and over,Females
2019-03-09,New Brunswick,130,all ages,Both sexes
2019-03-09,New Brunswick,80,all ages,Males
2019-03-09,New Brunswick,50,all ages,Females
2019-03-09,New Brunswick,0,0 to 44 years,Both sexes
2019-03-09,New Brunswick,5,0 to 44 years,Males
2019-03-09,New Brunswick,0,0 to 44 years,Females
2019-03-09,New Brunswick,20,45 to 64 years,Both sexes
2019-03-09,New Brunswick,10,45 to 64 years,Males
2019-03-09,New Brunswick,0,45 to 64 years,Females
2019-03-09,New Brunswick,65,65 to 84 years,Both sexes
2019-03-09,New Brunswick,40,65 to 84 years,Males
2019-03-09,New Brunswick,25,65 to 84 years,Females
2019-03-09,New Brunswick,45,85 years and over,Both sexes
2019-03-09,New Brunswick,25,85 years and over,Males
2019-03-09,New Brunswick,20,85 years and over,Females
2019-03-16,New Brunswick,135,all ages,Both sexes
2019-03-16,New Brunswick,65,all ages,Males
2019-03-16,New Brunswick,65,all ages,Females
2019-03-16,New Brunswick,0,0 to 44 years,Both sexes
2019-03-16,New Brunswick,5,0 to 44 years,Males
2019-03-16,New Brunswick,0,0 to 44 years,Females
2019-03-16,New Brunswick,15,45 to 64 years,Both sexes
2019-03-16,New Brunswick,5,45 to 64 years,Males
2019-03-16,New Brunswick,5,45 to 64 years,Females
2019-03-16,New Brunswick,65,65 to 84 years,Both sexes
2019-03-16,New Brunswick,35,65 to 84 years,Males
2019-03-16,New Brunswick,30,65 to 84 years,Females
2019-03-16,New Brunswick,50,85 years and over,Both sexes
2019-03-16,New Brunswick,15,85 years and over,Males
2019-03-16,New Brunswick,35,85 years and over,Females
2019-03-23,New Brunswick,145,all ages,Both sexes
2019-03-23,New Brunswick,75,all ages,Males
2019-03-23,New Brunswick,70,all ages,Females
2019-03-23,New Brunswick,5,0 to 44 years,Both sexes
2019-03-23,New Brunswick,5,0 to 44 years,Males
2019-03-23,New Brunswick,5,0 to 44 years,Females
2019-03-23,New Brunswick,15,45 to 64 years,Both sexes
2019-03-23,New Brunswick,10,45 to 64 years,Males
2019-03-23,New Brunswick,5,45 to 64 years,Females
2019-03-23,New Brunswick,85,65 to 84 years,Both sexes
2019-03-23,New Brunswick,45,65 to 84 years,Males
2019-03-23,New Brunswick,40,65 to 84 years,Females
2019-03-23,New Brunswick,35,85 years and over,Both sexes
2019-03-23,New Brunswick,20,85 years and over,Males
2019-03-23,New Brunswick,20,85 years and over,Females
2019-03-30,New Brunswick,160,all ages,Both sexes
2019-03-30,New Brunswick,80,all ages,Males
2019-03-30,New Brunswick,75,all ages,Females
2019-03-30,New Brunswick,5,0 to 44 years,Both sexes
2019-03-30,New Brunswick,0,0 to 44 years,Males
2019-03-30,New Brunswick,5,0 to 44 years,Females
2019-03-30,New Brunswick,20,45 to 64 years,Both sexes
2019-03-30,New Brunswick,15,45 to 64 years,Males
2019-03-30,New Brunswick,5,45 to 64 years,Females
2019-03-30,New Brunswick,75,65 to 84 years,Both sexes
2019-03-30,New Brunswick,45,65 to 84 years,Males
2019-03-30,New Brunswick,25,65 to 84 years,Females
2019-03-30,New Brunswick,60,85 years and over,Both sexes
2019-03-30,New Brunswick,20,85 years and over,Males
2019-03-30,New Brunswick,40,85 years and over,Females
2019-04-06,New Brunswick,160,all ages,Both sexes
2019-04-06,New Brunswick,80,all ages,Males
2019-04-06,New Brunswick,80,all ages,Females
2019-04-06,New Brunswick,5,0 to 44 years,Both sexes
2019-04-06,New Brunswick,5,0 to 44 years,Males
2019-04-06,New Brunswick,5,0 to 44 years,Females
2019-04-06,New Brunswick,20,45 to 64 years,Both sexes
2019-04-06,New Brunswick,15,45 to 64 years,Males
2019-04-06,New Brunswick,5,45 to 64 years,Females
2019-04-06,New Brunswick,80,65 to 84 years,Both sexes
2019-04-06,New Brunswick,40,65 to 84 years,Males
2019-04-06,New Brunswick,45,65 to 84 years,Females
2019-04-06,New Brunswick,55,85 years and over,Both sexes
2019-04-06,New Brunswick,20,85 years and over,Males
2019-04-06,New Brunswick,35,85 years and over,Females
2019-04-13,New Brunswick,155,all ages,Both sexes
2019-04-13,New Brunswick,80,all ages,Males
2019-04-13,New Brunswick,70,all ages,Females
2019-04-13,New Brunswick,5,0 to 44 years,Both sexes
2019-04-13,New Brunswick,5,0 to 44 years,Males
2019-04-13,New Brunswick,0,0 to 44 years,Females
2019-04-13,New Brunswick,25,45 to 64 years,Both sexes
2019-04-13,New Brunswick,15,45 to 64 years,Males
2019-04-13,New Brunswick,10,45 to 64 years,Females
2019-04-13,New Brunswick,80,65 to 84 years,Both sexes
2019-04-13,New Brunswick,50,65 to 84 years,Males
2019-04-13,New Brunswick,35,65 to 84 years,Females
2019-04-13,New Brunswick,45,85 years and over,Both sexes
2019-04-13,New Brunswick,15,85 years and over,Males
2019-04-13,New Brunswick,25,85 years and over,Females
2019-04-20,New Brunswick,150,all ages,Both sexes
2019-04-20,New Brunswick,80,all ages,Males
2019-04-20,New Brunswick,70,all ages,Females
2019-04-20,New Brunswick,5,0 to 44 years,Both sexes
2019-04-20,New Brunswick,0,0 to 44 years,Males
2019-04-20,New Brunswick,0,0 to 44 years,Females
2019-04-20,New Brunswick,10,45 to 64 years,Both sexes
2019-04-20,New Brunswick,10,45 to 64 years,Males
2019-04-20,New Brunswick,5,45 to 64 years,Females
2019-04-20,New Brunswick,75,65 to 84 years,Both sexes
2019-04-20,New Brunswick,40,65 to 84 years,Males
2019-04-20,New Brunswick,35,65 to 84 years,Females
2019-04-20,New Brunswick,60,85 years and over,Both sexes
2019-04-20,New Brunswick,25,85 years and over,Males
2019-04-20,New Brunswick,30,85 years and over,Females
2019-04-27,New Brunswick,170,all ages,Both sexes
2019-04-27,New Brunswick,85,all ages,Males
2019-04-27,New Brunswick,80,all ages,Females
2019-04-27,New Brunswick,5,0 to 44 years,Both sexes
2019-04-27,New Brunswick,5,0 to 44 years,Males
2019-04-27,New Brunswick,0,0 to 44 years,Females
2019-04-27,New Brunswick,25,45 to 64 years,Both sexes
2019-04-27,New Brunswick,15,45 to 64 years,Males
2019-04-27,New Brunswick,5,45 to 64 years,Females
2019-04-27,New Brunswick,70,65 to 84 years,Both sexes
2019-04-27,New Brunswick,40,65 to 84 years,Males
2019-04-27,New Brunswick,35,65 to 84 years,Females
2019-04-27,New Brunswick,70,85 years and over,Both sexes
2019-04-27,New Brunswick,30,85 years and over,Males
2019-04-27,New Brunswick,40,85 years and over,Females
2019-05-04,New Brunswick,140,all ages,Both sexes
2019-05-04,New Brunswick,65,all ages,Males
2019-05-04,New Brunswick,75,all ages,Females
2019-05-04,New Brunswick,10,0 to 44 years,Both sexes
2019-05-04,New Brunswick,5,0 to 44 years,Males
