Date,GEO,value,Age,Sex,Characteristics
2018-01-20,Nunavut,0,85 years and over,Both sexes,Number of deaths
2018-01-27,Canada,6440,all ages,Both sexes,Number of deaths
2018-01-27,Canada,255,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Canada,935,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Canada,2640,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Canada,2610,85 years and over,Both sexes,Number of deaths
2018-01-27,Newfoundland and Labrador,100,all ages,Both sexes,Number of deaths
2018-01-27,Newfoundland and Labrador,5,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Newfoundland and Labrador,20,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Newfoundland and Labrador,50,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Newfoundland and Labrador,30,85 years and over,Both sexes,Number of deaths
2018-01-27,Prince Edward Island,30,all ages,Both sexes,Number of deaths
2018-01-27,Prince Edward Island,0,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Prince Edward Island,5,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Prince Edward Island,10,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Prince Edward Island,20,85 years and over,Both sexes,Number of deaths
2018-01-27,Nova Scotia,260,all ages,Both sexes,Number of deaths
2018-01-27,Nova Scotia,5,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Nova Scotia,40,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Nova Scotia,120,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Nova Scotia,90,85 years and over,Both sexes,Number of deaths
2018-01-27,New Brunswick,150,all ages,Both sexes,Number of deaths
2018-01-27,New Brunswick,5,0 to 44 years,Both sexes,Number of deaths
2018-01-27,New Brunswick,25,45 to 64 years,Both sexes,Number of deaths
2018-01-27,New Brunswick,70,65 to 84 years,Both sexes,Number of deaths
2018-01-27,New Brunswick,60,85 years and over,Both sexes,Number of deaths
2018-01-27,Quebec,1615,all ages,Both sexes,Number of deaths
2018-01-27,Quebec,35,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Quebec,200,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Quebec,695,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Quebec,685,85 years and over,Both sexes,Number of deaths
2018-01-27,Ontario,2430,all ages,Both sexes,Number of deaths
2018-01-27,Ontario,80,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Ontario,340,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Ontario,970,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Ontario,1040,85 years and over,Both sexes,Number of deaths
2018-01-27,Manitoba,230,all ages,Both sexes,Number of deaths
2018-01-27,Manitoba,15,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Manitoba,30,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Manitoba,80,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Manitoba,105,85 years and over,Both sexes,Number of deaths
2018-01-27,Saskatchewan,205,all ages,Both sexes,Number of deaths
2018-01-27,Saskatchewan,15,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Saskatchewan,30,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Saskatchewan,80,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Saskatchewan,85,85 years and over,Both sexes,Number of deaths
2018-01-27,Alberta,540,all ages,Both sexes,Number of deaths
2018-01-27,Alberta,45,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Alberta,95,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Alberta,220,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Alberta,175,85 years and over,Both sexes,Number of deaths
2018-01-27,British Columbia,865,all ages,Both sexes,Number of deaths
2018-01-27,British Columbia,55,0 to 44 years,Both sexes,Number of deaths
2018-01-27,British Columbia,140,45 to 64 years,Both sexes,Number of deaths
2018-01-27,British Columbia,340,65 to 84 years,Both sexes,Number of deaths
2018-01-27,British Columbia,325,85 years and over,Both sexes,Number of deaths
2018-01-27,Yukon,,all ages,Both sexes,Number of deaths
2018-01-27,Yukon,,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Yukon,,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Yukon,,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Yukon,,85 years and over,Both sexes,Number of deaths
2018-01-27,Northwest Territories,5,all ages,Both sexes,Number of deaths
2018-01-27,Northwest Territories,0,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Northwest Territories,5,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Northwest Territories,0,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Northwest Territories,0,85 years and over,Both sexes,Number of deaths
2018-01-27,Nunavut,5,all ages,Both sexes,Number of deaths
2018-01-27,Nunavut,0,0 to 44 years,Both sexes,Number of deaths
2018-01-27,Nunavut,0,45 to 64 years,Both sexes,Number of deaths
2018-01-27,Nunavut,5,65 to 84 years,Both sexes,Number of deaths
2018-01-27,Nunavut,0,85 years and over,Both sexes,Number of deaths
2018-02-03,Canada,6225,all ages,Both sexes,Number of deaths
2018-02-03,Canada,300,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Canada,835,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Canada,2635,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Canada,2455,85 years and over,Both sexes,Number of deaths
2018-02-03,Newfoundland and Labrador,100,all ages,Both sexes,Number of deaths
2018-02-03,Newfoundland and Labrador,5,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Newfoundland and Labrador,10,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Newfoundland and Labrador,55,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Newfoundland and Labrador,35,85 years and over,Both sexes,Number of deaths
2018-02-03,Prince Edward Island,30,all ages,Both sexes,Number of deaths
